Building,Floor,Room Number,Room Type,Occupancy,Status,Notes
Monk's House Block,Ground Floor,301,Double,2,Active,Available for booking
Monk's House Block,Ground Floor,302,Double,2,Active,Available for booking
Monk's House Block,Ground Floor,303,Double,2,Active,Available for booking
Monk's House Block,Ground Floor,304,Double,2,Active,Available for booking
Monk's House Block,Ground Floor,305,Double,2,Active,Available for booking
Monk's House Block,First Floor,306,Double,2,Active,Available for booking
Monk's House Block,First Floor,307,Double,2,Active,Available for booking
Monk's House Block,First Floor,308,Double,2,Active,Available for booking
Monk's House Block,First Floor,309,Double,2,Active,Available for booking
Monk's House Block,First Floor,310,Double,2,Active,Available for booking
Staff's Block,Ground Floor,101,Double,2,Active,Available for booking - Mark as private if staff room
Staff's Block,Ground Floor,102,Double,2,Active,Available for booking - Mark as private if staff room
Staff's Block,Ground Floor,103,Double,2,Active,Available for booking - Mark as private if staff room
Staff's Block,Ground Floor,104,Triple,3,Active,Available for booking - Mark as private if staff room
Staff's Block,Ground Floor,105,Double,2,Active,Available for booking - Mark as private if staff room
Staff's Block,Ground Floor,106,Double,2,Active,Available for booking - Mark as private if staff room
Staff's Block,Ground Floor,107,Double,2,Active,Available for booking - Mark as private if staff room
Staff's Block,Ground Floor,108,Double,2,Active,Available for booking - Mark as private if staff room
Staff's Block,First Floor,205,Triple,3,Active,Available for booking - Mark as private if staff room
Staff's Block,First Floor,206,Double,2,Active,Available for booking - Mark as private if staff room
Staff's Block,First Floor,207,Double,2,Active,Available for booking - Mark as private if staff room
Staff's Block,First Floor,208,Double,2,Active,Available for booking - Mark as private if staff room
Staff's Block,First Floor,209,Double,2,Active,Available for booking - Mark as private if staff room
Staff's Block,First Floor,210,Double,2,Active,Available for booking - Mark as private if staff room
Staff's Block,First Floor,211,Double,2,Active,Available for booking - Mark as private if staff room
Staff's Block,First Floor,212,Double,2,Active,Available for booking - Mark as private if staff room
Staff's Block,First Floor,213,Double,2,Active,Available for booking - Mark as private if staff room
Staff's Block,First Floor,214,Double,2,Active,Available for booking - Mark as private if staff room
